Name_of_Property,PricePerSquareFeet,Age,Building Area in Sqfeet,Miles to Freeway,Lot Size in Sqfeet,Ceiling Height in feet,Exterior Wall,Facilities_Score,Location,Sale Price,Age_squared,Building_Area_Squared,Miles_Squared,Lot_Squared,Ceiling_Squared,Exterior_Squared,Facilities_Squared,BuildingSize*Location,LotSize*Location,Exterior*Location,Facilities_Location
1,78,15,26225,3,330000,30,1.2,0.55,0,2045550,225,687750625,9,1.089E+11,900,1.44,0.3025,0,0,0,0
2,100.5,18,26312,3.75,140000,23,1.7,0.64,1,2644356,324,692321344,14.0625,19600000000,529,2.89,0.4096,26312,140000,1.7,0.64
3,67.5,13,27870,3.25,1300000,27,1.5,0.85,0,1881225,169,776736900,10.5625,1.69E+12,729,2.25,0.7225,0,0,0,0
4,111,3,28596,2.25,1770000,33,1.9,0.88,1,3174156,9,817731216,5.0625,3.1329E+12,1089,3.61,0.7744,28596,1770000,1.9,0.88
5,66,16,28762,4,1870000,21,1.5,0.8,0,1898292,256,827252644,16,3.4969E+12,441,2.25,0.64,0,0,0,0
6,97.5,8,29127,2.25,540000,21,1.8,0.75,1,2839882.5,64,848382129,5.0625,2.916E+11,441,3.24,0.5625,29127,540000,1.8,0.75
7,115.5,1,29221,1.25,1360000,35,2,0.65,1,3375025.5,1,853866841,1.5625,1.8496E+12,1225,4,0.4225,29221,1360000,2,0.65
8,88.5,18,29809,1.75,340000,24,1.1,0.85,1,2638096.5,324,888576481,3.0625,1.156E+11,576,1.21,0.7225,29809,340000,1.1,0.85
9,87,14,31620,3,650000,29,1.2,0.75,0,2750940,196,999824400,9,4.225E+11,841,1.44,0.5625,0,0,0,0
10,81,2,31750,3.5,420000,19,1.4,0.85,1,2571750,4,1008062500,12.25,1.764E+11,361,1.96,0.7225,31750,420000,1.4,0.85
11,90,6,33128,2.25,500000,28,1.7,0.63,0,2981520,36,1097464384,5.0625,2.5E+11,784,2.89,0.3969,0,0,0,0
12,75,4,34424,2.75,1170000,35,1.6,0.52,1,2581800,16,1185011776,7.5625,1.3689E+12,1225,2.56,0.2704,34424,1170000,1.6,0.52
13,94.5,3,34865,3.25,1410000,30,1.4,0.9,1,3294742.5,9,1215568225,10.5625,1.9881E+12,900,1.96,0.81,34865,1410000,1.4,0.9
14,66,14,37927,3.5,350000,25,1.5,0.64,0,2503182,196,1438457329,12.25,1.225E+11,625,2.25,0.4096,0,0,0,0
15,78,6,38664,3.75,1570000,30,1.3,0.55,0,3015792,36,1494904896,14.0625,2.4649E+12,900,1.69,0.3025,0,0,0,0
